CLAVE CENSAL, POBLACION, MUNICIPIO, ESTADO, PRESUSCRIPCION, REGION, ASL,NIR, SERIE, NUMERACION INICIAL, NUMERACION FINAL, OCUPACION, TIPO DE RED,MODALIDAD, RAZON SOCIAL, FECHA ASIGNACION, FECHA CONSOLIDACION, FECHA MIGRACION, NIR ANTERIOR
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","356","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","06/11/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","355","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","06/11/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","354","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","06/11/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","353","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","06/11/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","360","0000","2999","3000","MOVIL","CPP","MAXCOM TELECOMUNICACIONES, S.A.B. DE C.V.","09/11/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","350","0000","2999","3000","MOVIL","CPP","IBO CELL, S.A.P.I. DE C.V.","04/11/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","320","4000","8999","5000","FIJO","FIJO","AT&T OPCO UNE MEX, S. DE R.L. DE C.V.","21/08/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","336","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","11/03/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","335","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","11/03/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","334","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","11/03/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","207","0000","9999","10000","MOVIL","MPP","AT&T DIGITAL, S. DE R.L. DE C.V.","14/12/06","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","442","1000","1999","1000","FIJO","FIJO","AVANTEL, S. DE R.L. DE C.V.","18/09/01","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","441","9000","9999","1000","MOVIL","MPP","AT&T DIGITAL, S. DE R.L. DE C.V.","18/05/11","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","441","0000","8999","9000","MOVIL","MPP","AT&T DIGITAL, S. DE R.L. DE C.V.","18/05/11","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","236","0000","9999","10000","MOVIL","MPP","AT&T DIGITAL, S. DE R.L. DE C.V.","18/05/11","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","122","0000","9999","10000","MOVIL","MPP","AT&T DIGITAL, S. DE R.L. DE C.V.","18/05/11","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","342","0000","4999","5000","MOVIL","CPP","TELECOMUNICACIONES 360, S.A. DE C.V.","20/08/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","341","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","02/06/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","340","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","02/06/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","339","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","02/06/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","338","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","02/06/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","337","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","02/06/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","349","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","21/10/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","348","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","21/10/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","347","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","21/10/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","346","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","21/10/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","345","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","21/10/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","344","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","21/10/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","343","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","21/10/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","352","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","05/11/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","351","0000","9999","10000","MOVIL","CPP","KUBO CEL, S.A.P.I. DE C.V.","04/11/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","688","1000","4999","4000","FIJO","FIJO","TELEFONOS DE MEXICO, S.A.B. DE C.V.","31/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","324","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","20/05/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","323","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","20/05/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","318","0000","4999","5000","FIJO","FIJO","CABLEVISION RED, S.A. DE C.V.","01/11/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","293","5000","9999","5000","FIJO","FIJO","CABLEVISION RED, S.A. DE C.V.","01/11/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","302","0000","2999","3000","MOVIL","CPP","AT&T COMCENTRO, S. DE R.L. DE C.V.","28/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","966","1000","9999","9000","MOVIL","CPP","AT&T COMCENTRO, S. DE R.L. DE C.V.","28/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","593","6000","9999","4000","MOVIL","CPP","AT&T COMCENTRO, S. DE R.L. DE C.V.","28/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","593","1000","4999","4000","MOVIL","CPP","AT&T COMCENTRO, S. DE R.L. DE C.V.","28/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","317","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","30/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","316","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","30/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","315","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","30/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","314","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","30/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","313","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","30/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","312","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","30/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","311","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","30/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","306","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","30/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","305","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","30/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","930","0200","9999","9800","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","12/06/98","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","333","0000","4999","5000","FIJO","FIJO","STARSATEL, S.A. DE C.V.","21/01/15","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","304","0000","3999","4000","MOVIL","CPP","AT&T OPCO UNE MEX, S. DE R.L. DE C.V.","28/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","281","4000","9999","6000","MOVIL","CPP","AT&T OPCO UNE MEX, S. DE R.L. DE C.V.","28/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","303","0000","9999","10000","MOVIL","CPP","AT&T OPCO UNE MEX, S. DE R.L. DE C.V.","28/10/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","330","0000","9999","10000","MOVIL","CPP","AT&T DIGITAL, S. DE R.L. DE C.V.","21/11/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","329","0000","9999","10000","MOVIL","CPP","AT&T DIGITAL, S. DE R.L. DE C.V.","21/11/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","328","0000","9999","10000","MOVIL","CPP","AT&T DIGITAL, S. DE R.L. DE C.V.","21/11/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","294","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","22/04/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","327","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","24/09/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","326","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","24/09/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","301","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","30/07/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","299","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","30/07/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","298","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","30/07/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","297","0000","9999","10000","FIJO","FIJO","GRUPO DE TELECOMUNICACIONES MEXICANAS, S.A. DE C.V.","30/07/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","293","0000","4999","5000","FIJO","FIJO","CABLEVISION RED, S.A. DE C.V.","14/03/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","296","0000","9999","10000","MOVIL","MPP","AT&T DIGITAL, S. DE R.L. DE C.V.","10/06/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","295","0000","9999","10000","MOVIL","MPP","AT&T DIGITAL, S. DE R.L. DE C.V.","10/06/13","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","325","0000","9999","10000","FIJO","FIJO","GRUPO DE TELECOMUNICACIONES MEXICANAS, S.A. DE C.V.","22/09/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","322","0000","0999","1000","FIJO","FIJO","MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.","01/04/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","968","4120","4511","392","FIJO","FIJO","TELEFONOS DE MEXICO, S.A.B. DE C.V.","21/02/02","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","332","0000","9999","10000","FIJO","FIJO","CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.","25/11/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","331","0000","9999","10000","FIJO","FIJO","CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.","25/11/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","321","0000","2999","3000","MOVIL","CPP","AT&T COMCENTRO, S. DE R.L. DE C.V.","04/03/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","302","3000","9999","7000","MOVIL","CPP","AT&T COMCENTRO, S. DE R.L. DE C.V.","04/03/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","320","0000","3999","4000","MOVIL","CPP","AT&T OPCO UNE MEX, S. DE R.L. DE C.V.","04/03/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","319","0000","9999","10000","MOVIL","CPP","AT&T OPCO UNE MEX, S. DE R.L. DE C.V.","04/03/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","304","4000","9999","6000","MOVIL","CPP","AT&T OPCO UNE MEX, S. DE R.L. DE C.V.","04/03/14","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","918","4000","8671","4672","FIJO","FIJO","TELEFONOS DE MEXICO, S.A.B. DE C.V.","31/12/95","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","274","0000","9999","10000","MOVIL","MPP","AT&T DIGITAL, S. DE R.L. DE C.V.","06/03/12","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","273","0000","9999","10000","MOVIL","CPP","AT&T DIGITAL, S. DE R.L. DE C.V.","06/03/12","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","281","0000","3999","4000","FIJO","FIJO","AT&T OPCO UNE MEX, S. DE R.L. DE C.V.","07/09/12","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","252","9000","9999","1000","FIJO","FIJO","AT&T OPCO UNE MEX, S. DE R.L. DE C.V.","07/09/12","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","270","0000","9999","10000","FIJO","FIJO","GRUPO DE TELECOMUNICACIONES MEXICANAS, S.A. DE C.V.","04/05/11","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","269","0000","9999","10000","FIJO","FIJO","GRUPO DE TELECOMUNICACIONES MEXICANAS, S.A. DE C.V.","04/05/11","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","268","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","03/05/11","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","267","0000","9999","10000","MOVIL","CPP","PEGASO PCS, S.A. DE C.V.","03/05/11","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","251","7000","7999","1000","FIJO","FIJO","TELEFONOS DE MEXICO, S.A.B. DE C.V.","10/08/12","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","251","6000","6999","1000","FIJO","FIJO","TELEFONOS DE MEXICO, S.A.B. DE C.V.","23/11/11","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","250","5000","5999","1000","FIJO","FIJO","TELEFONOS DE MEXICO, S.A.B. DE C.V.","07/04/11","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","265","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","04/11/10","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","264","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","04/11/10","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","263","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","04/11/10","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","262","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","04/11/10","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","261","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","04/11/10","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","260","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","04/11/10","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","259","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","04/11/10","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","258","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","04/11/10","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","257","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","04/11/10","01/04/00","01/04/99","49"
"010010001","AGUASCALIENTES","AGUASCALIENTES","AGS","P","4","1","449","256","0000","9999","10000","MOVIL","CPP","RADIOMOVIL DIPSA, S.A. DE C.V.","04/11/10","01/04/00","01/04/99","49"
